Seconds,Country,Latitude,Longitude
5.0,4,36.175,-115.1363889
20.0,4,32.5005556,-94.7402778
15.0,4,40.7141667,-74.0063889
3.0,4,34.4208333,-119.6972222
5.0,4,36.175,-115.1363889
20.0,4,41.6611111,-91.53
5.0,4,45.4208333,-122.6694444
60.0,3,51.021111,-3.104722
20.0,4,41.5733333,-87.7844444
60.0,4,40.6836111,-73.5105556
30.0,4,29.7630556,-95.3630556
30.0,4,32.8338889,-109.7069444
40.0,4,32.9125,-96.6386111
60.0,4,41.6527778,-70.2833333
60.0,4,41.1416667,-87.875
60.0,4,43.4222222,-123.2972222
60.0,4,28.0391667,-81.95
5.0,4,45.5236111,-122.675
5.0,4,45.2113889,-122.9755556
4.0,4,32.9594444,-117.2644444
7.0,4,32.8472222,-117.2733333
60.0,4,40.7419444,-95.0380556
8.0,3,53.383333,-2.6
30.0,4,29.4238889,-98.4933333
60.0,4,41.8327778,-87.9288889
25.0,4,45.5236111,-122.675
5.0,4,40.7141667,-74.0063889
15.0,4,36.175,-115.1363889
25.0,4,25.7738889,-80.1938889
15.0,4,39.0911111,-94.4152778
20.0,4,33.3061111,-111.8405556
15.0,4,37.5202778,-122.2747222
60.0,3,56.15,-3.75
10.0,4,30.1658333,-81.7066667
30.0,4,40.3461111,-94.8722222
1.0,4,47.6063889,-122.3308333
10.0,4,44.1897222,-70.1408333
30.0,4,48.9466667,-122.4508333
2.0,4,42.6525,-73.7566667
1.0,4,36.7161111,-77.0683333
5.0,4,48.9202778,-122.3413889
10.0,4,48.1172222,-122.7591667
3.0,4,47.9130556,-122.0969444
15.0,4,38.2544444,-104.6086111
1.0,4,47.6063889,-122.3308333
3.0,4,47.6063889,-122.3308333
2.0,4,47.6063889,-122.3308333
10.0,4,47.3811111,-122.2336111
5.0,4,47.8211111,-122.3138889
10.0,4,35.1472222,-107.8508333
5.0,4,48.0319444,-122.7569444
4.0,4,28.5380556,-81.3794444
60.0,4,47.8108333,-122.3761111
2.0,4,47.6741667,-122.1202778
30.0,1,44.3,-78.333333
